Title,Authors,Affiliations,Qualifier,Major Qualifier,Descriptor,Major Descriptor,Abstract,Journal,Language,Year,Month
[Cognitive and emotional impairments in patients with protracted anxiety-phobic disorders].,"['Chutko, L S', 'Surushkina, S Iu', 'Iakovenko, E A', 'Nikishena, I S', 'Anisimova, T I', 'Bondarchuk, Iu L']",[],"['complications', 'drug therapy', 'administration & dosage']",NA,"[StringElement('Acute Disease', attributes={'UI': 'D000208', 'MajorTopicYN': 'N'}), StringElement('Adolescent', attributes={'UI': 'D000293', 'MajorTopicYN': 'N'}), StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Chronic Disease', attributes={'UI': 'D002908', 'MajorTopicYN': 'N'}), StringElement('Cognition Disorders', attributes={'UI': 'D003072', 'MajorTopicYN': 'Y'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Phobic Disorders', attributes={'UI': 'D010698', 'MajorTopicYN': 'Y'}), StringElement('Tranquilizing Agents', attributes={'UI': 'D014149', 'MajorTopicYN': 'N'}), StringElement('Treatment Outcome', attributes={'UI': 'D016896', 'MajorTopicYN': 'N'}), StringElement('Young Adult', attributes={'UI': 'D055815', 'MajorTopicYN': 'N'}), StringElement('gamma-Aminobutyric Acid', attributes={'UI': 'D005680', 'MajorTopicYN': 'N'})]","[StringElement('Cognition Disorders', attributes={'UI': 'D003072', 'MajorTopicYN': 'Y'}), StringElement('Phobic Disorders', attributes={'UI': 'D010698', 'MajorTopicYN': 'Y'})]","To study cognitive and emotional impairments in patients with anxiety-phobic disorders (APDs), to comparatively analyze the clinical manifestations of acute (less than one-year) and protracted (1-to-5-year) forms of this disease, and to evaluate the efficacy of noofen used to treat this pathology.",Terapevticheskii arkhiv,rus,2014,NA
Effectiveness of Choice Theory Connections: a cross-sectional and comparative analysis of California female inmates.,"['Grills, Cheryl', 'Villanueva, Sandra', 'Anderson, Michelle', 'Corsbie-Massay, Charisse L', 'Smith, Bradley', 'Johnson, Lester', 'Owens, Kyri']","['Loyola Marymount University, Los Angeles, CA, USA cheryl.grills@lmu.edu.', 'Loyola Marymount University, Los Angeles, CA, USA.', 'Northwestern University, Chicago, IL, USA.', 'Syracuse University, NY, USA.', 'Loyola Marymount University, Los Angeles, CA, USA.', 'California Institution for Women, Corona, USA.', 'California Institution for Women, Corona, USA.']","['methods', 'psychology']",NA,"[StringElement('Adaptation, Psychological', attributes={'UI': 'D000223', 'MajorTopicYN': 'N'}), StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Behavior Therapy', attributes={'UI': 'D001521', 'MajorTopicYN': 'N'}), StringElement('California', attributes={'UI': 'D002140', 'MajorTopicYN': 'N'}), StringElement('Choice Behavior', attributes={'UI': 'D002755', 'MajorTopicYN': 'Y'}), StringElement('Cognitive Behavioral Therapy', attributes={'UI': 'D015928', 'MajorTopicYN': 'N'}), StringElement('Cohort Studies', attributes={'UI': 'D015331', 'MajorTopicYN': 'N'}), StringElement('Cross-Sectional Studies', attributes={'UI': 'D003430', 'MajorTopicYN': 'N'}), StringElement('Emotional Intelligence', attributes={'UI': 'D056348', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Internal-External Control', attributes={'UI': 'D007389', 'MajorTopicYN': 'N'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Mindfulness', attributes={'UI': 'D064866', 'MajorTopicYN': 'N'}), StringElement('Patient Discharge', attributes={'UI': 'D010351', 'MajorTopicYN': 'N'}), StringElement('Prisoners', attributes={'UI': 'D011329', 'MajorTopicYN': 'N'}), StringElement('Psychological Theory', attributes={'UI': 'D011582', 'MajorTopicYN': 'Y'}), StringElement('Quality of Life', attributes={'UI': 'D011788', 'MajorTopicYN': 'N'}), StringElement('Recurrence', attributes={'UI': 'D012008', 'MajorTopicYN': 'N'})]","[StringElement('Choice Behavior', attributes={'UI': 'D002755', 'MajorTopicYN': 'Y'}), StringElement('Psychological Theory', attributes={'UI': 'D011582', 'MajorTopicYN': 'Y'})]","In the past 30 years, the rates of incarceration and recidivism for women in the United States have increased dramatically. Choice Theory® Connections (CTC) is a gender-tailored pre-release intervention program based on Choice Theory® (Glasser, 1999), and designed to achieve meaningful and sustainable cognitive and behavioral change. This evaluation examines CTC among 96 female participants in a California state prison enrolled in an introductory (n = 58) or advanced (n = 38) course. CTC significantly improved perceived stress, mindfulness, emotion regulation, impulsivity, and well-being on completion; effects were stronger for the introductory cohort, but significant effects also emerged for the advanced cohort. In addition, participants in the advanced cohort reported better scores at baseline, demonstrating the effects of prolonged engagement with the intervention. Results suggest that CTC can improve incarcerated women's well-being pre-release, a strong predictor of recidivism post-release. Further study and wider use of CTC are encouraged.",International journal of offender therapy and comparative criminology,eng,2015,Jun
Is there a difference in cognitive development between preschool singletons and twins born after intracytoplasmic sperm injection or in vitro fertilization?,"['Xing, Lan-feng', 'Qian, Yu-li', 'Chen, Lu-ting', 'Zhang, Fan-hong', 'Xu, Xin-fen', 'Qu, Fan', 'Zhu, Yi-min']","[""Department of Reproductive Medicine, Women's Hospital, School of Medicine, Zhejiang University, Hangzhou 310021, China.""]",['statistics & numerical data'],NA,"[StringElement('Child Development', attributes={'UI': 'D002657', 'MajorTopicYN': 'Y'}), StringElement('Child, Preschool', attributes={'UI': 'D002675', 'MajorTopicYN': 'N'}), StringElement('Cognition', attributes={'UI': 'D003071', 'MajorTopicYN': 'Y'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Fertilization in Vitro', attributes={'UI': 'D005307', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'}), StringElement('Intelligence Tests', attributes={'UI': 'D007361', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Sperm Injections, Intracytoplasmic', attributes={'UI': 'D020554', 'MajorTopicYN': 'N'}), StringElement('Treatment Outcome', attributes={'UI': 'D016896', 'MajorTopicYN': 'N'}), StringElement('Twins', attributes={'UI': 'D014427', 'MajorTopicYN': 'Y'})]","[StringElement('Child Development', attributes={'UI': 'D002657', 'MajorTopicYN': 'Y'}), StringElement('Cognition', attributes={'UI': 'D003071', 'MajorTopicYN': 'Y'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'Y'}), StringElement('Twins', attributes={'UI': 'D014427', 'MajorTopicYN': 'Y'})]",To explore whether there exist differences in cognitive development between singletons and twins born after in vitro fertilization (IVF) or intracytoplasmic sperm injection (ICSI).,Journal of Zhejiang University. Science. B,eng,2014,Jan
How do doctors choose where they want to work? - motives for choice of current workplace among physicians registered in Finland 1977-2006.,"['Heikkilä, Teppo Juhani', 'Hyppölä, Harri', 'Aine, Tiina', 'Halila, Hannu', 'Vänskä, Jukka', 'Kujala, Santero', 'Virjo, Irma', 'Mattila, Kari']","['Unit of Primary Health Care, Kuopio University Hospital, P.O. Box 1777, FI 70211 Kuopio, Finland. Electronic address: teppo.heikkila@fimnet.fi.', 'Emergency Department, Kuopio University Hospital, P.O. Box 1777, FI 70211 Kuopio, Finland. Electronic address: harri.hyppola@kuh.fi.', 'Department of General Practice, School of Medicine, University of Tampere, Kalevantie 4, FI 33014 Tampere, Finland. Electronic address: tiina.aine@uta.fi.', 'Finnish Medical Association, P.O. Box 49, FI 00501 Helsinki, Finland. Electronic address: hannu.halila@laakariliitto.fi.', 'Finnish Medical Association, P.O. Box 49, FI 00501 Helsinki, Finland. Electronic address: jukka.vanska@laakariliitto.fi.', 'Finnish Medical Association, P.O. Box 49, FI 00501 Helsinki, Finland. Electronic address: santero.kujala@fimnet.fi.', 'Department of General Practice, School of Medicine, University of Tampere, Kalevantie 4, FI 33014 Tampere, Finland. Electronic address: irma.virjo@uta.fi.', 'Centre of General Practice, Pirkanmaa Hospital District, P.O. Box 2000, FI 33521 Tampere, Finland. Electronic address: kari.mattila@uta.fi.']",['psychology'],NA,"[StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Career Choice', attributes={'UI': 'D002321', 'MajorTopicYN': 'N'}), StringElement('Career Mobility', attributes={'UI': 'D002322', 'MajorTopicYN': 'N'}), StringElement('Choice Behavior', attributes={'UI': 'D002755', 'MajorTopicYN': 'Y'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Finland', attributes={'UI': 'D005387', 'MajorTopicYN': 'N', 'Type': 'Geographic'}), StringElement('Health Planning', attributes={'UI': 'D006285', 'MajorTopicYN': 'N'}), StringElement('Health Policy', attributes={'UI': 'D006291', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Physicians', attributes={'UI': 'D010820', 'MajorTopicYN': 'N'}), StringElement('Professional Practice Location', attributes={'UI': 'D011365', 'MajorTopicYN': 'Y'}), StringElement('Quality of Life', attributes={'UI': 'D011788', 'MajorTopicYN': 'N'}), StringElement('Salaries and Fringe Benefits', attributes={'UI': 'D012456', 'MajorTopicYN': 'N'}), StringElement('Surveys and Questionnaires', attributes={'UI': 'D011795', 'MajorTopicYN': 'N'}), StringElement('Workplace', attributes={'UI': 'D017132', 'MajorTopicYN': 'N'})]","[StringElement('Choice Behavior', attributes={'UI': 'D002755', 'MajorTopicYN': 'Y'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'Y'}), StringElement('Professional Practice Location', attributes={'UI': 'D011365', 'MajorTopicYN': 'Y'})]","Though there are a number of studies investigating the career choices of physicians, there are only few concerning doctors' choices of workplace. A random sample (N=7758) of physicians licensed in Finland during the years 1977-2006 was surveyed. Respondents were asked: ""To what extent did the following motives affect your choice of your current workplace?"" Respondents were grouped based on several background variables. The groups were used as independent variables in univariate analysis of covariance (ANCOVA). The factors Good workplace, Career and professional development, Non-work related issues, Personal contacts and Salary were formed and used as dependent variables. There were significant differences between groups of physicians, especially in terms of gender, working sector and specialties. The association of Good workplace, Career and professional development, and Non-work related issues with the choice of a workplace significantly decreased with age. Female physicians were more concerned with Career and professional development and Non-work related issues. Since more females are entering the medical profession and there is an ongoing change of generations, health care organizations and policy makers need to develop a new philosophy in order to attract physicians. This will need to include more human-centric management and leadership, better possibilities for continuous professional development, and more personalized working arrangements depending on physician's personal motives.","Health policy (Amsterdam, Netherlands)",eng,2014,Feb
"A factor analysis of the SSQ (Speech, Spatial, and Qualities of Hearing Scale).","['Akeroyd, Michael A', 'Guy, Fiona H', 'Harrison, Dawn L', 'Suller, Sharon L']","['MRC Institute of Hearing Research (Scottish Section), Glasgow Royal Infirmary , Glasgow , UK.']","['diagnosis', 'psychology']",NA,"[StringElement('Aged', attributes={'UI': 'D000368', 'MajorTopicYN': 'N'}), StringElement('Attention', attributes={'UI': 'D001288', 'MajorTopicYN': 'N'}), StringElement('Audiometry', attributes={'UI': 'D001299', 'MajorTopicYN': 'N'}), StringElement('Comprehension', attributes={'UI': 'D032882', 'MajorTopicYN': 'N'}), StringElement('Disability Evaluation', attributes={'UI': 'D004185', 'MajorTopicYN': 'Y'}), StringElement('Factor Analysis, Statistical', attributes={'UI': 'D005163', 'MajorTopicYN': 'N'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Hearing', attributes={'UI': 'D006309', 'MajorTopicYN': 'Y'}), StringElement('Hearing Disorders', attributes={'UI': 'D006311', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Persons With Hearing Impairments', attributes={'UI': 'D019986', 'MajorTopicYN': 'N'}), StringElement('Predictive Value of Tests', attributes={'UI': 'D011237', 'MajorTopicYN': 'N'}), StringElement('Psychoacoustics', attributes={'UI': 'D011571', 'MajorTopicYN': 'N'}), StringElement('Severity of Illness Index', attributes={'UI': 'D012720', 'MajorTopicYN': 'N'}), StringElement('Sound Localization', attributes={'UI': 'D013017', 'MajorTopicYN': 'Y'}), StringElement('Space Perception', attributes={'UI': 'D013028', 'MajorTopicYN': 'Y'}), StringElement('Speech Acoustics', attributes={'UI': 'D013061', 'MajorTopicYN': 'N'}), StringElement('Speech Intelligibility', attributes={'UI': 'D013065', 'MajorTopicYN': 'N'}), StringElement('Speech Perception', attributes={'UI': 'D013067', 'MajorTopicYN': 'Y'}), StringElement('Surveys and Questionnaires', attributes={'UI': 'D011795', 'MajorTopicYN': 'Y'})]","[StringElement('Disability Evaluation', attributes={'UI': 'D004185', 'MajorTopicYN': 'Y'}), StringElement('Hearing', attributes={'UI': 'D006309', 'MajorTopicYN': 'Y'}), StringElement('Sound Localization', attributes={'UI': 'D013017', 'MajorTopicYN': 'Y'}), StringElement('Space Perception', attributes={'UI': 'D013028', 'MajorTopicYN': 'Y'}), StringElement('Speech Perception', attributes={'UI': 'D013067', 'MajorTopicYN': 'Y'}), StringElement('Surveys and Questionnaires', attributes={'UI': 'D011795', 'MajorTopicYN': 'Y'})]","The speech, spatial, and qualities of hearing questionnaire (SSQ) is a self-report test of auditory disability. The 49 items ask how well a listener would do in many complex listening situations illustrative of real life. The scores on the items are often combined into the three main sections or into 10 pragmatic subscales. We report here a factor analysis of the SSQ that we conducted to further investigate its statistical properties and to determine its structure.",International journal of audiology,eng,2014,Feb
Maternal depressive symptoms and sensitivity are related to young children's facial expression recognition: the Generation R Study.,"['Székely, Eszter', 'Lucassen, Nicole', 'Tiemeier, Henning', 'Bakermans-Kranenburg, Marian J', 'Van Ijzendoorn, Marinus H', 'Kok, Rianne', 'Jaddoe, Vincent W V', 'Hofman, Albert', 'Verhulst, Frank C', 'Herba, Catherine M']","['Erasmus Medical Center.', 'Erasmus Medical Center.', 'Erasmus Medical Center.', 'Leiden University.', 'Leiden University.', 'Erasmus Medical Center.', 'Erasmus Medical Center.', 'Erasmus Medical Center.', ""Sophia Children's Hospital, Rotterdam."", ""Sophia Children's Hospital, Rotterdam.""]",['psychology'],NA,"[StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Child of Impaired Parents', attributes={'UI': 'D016241', 'MajorTopicYN': 'N'}), StringElement('Child, Preschool', attributes={'UI': 'D002675', 'MajorTopicYN': 'N'}), StringElement('Depression', attributes={'UI': 'D003863', 'MajorTopicYN': 'N'}), StringElement('Emotional Intelligence', attributes={'UI': 'D056348', 'MajorTopicYN': 'Y'}), StringElement('Facial Expression', attributes={'UI': 'D005149', 'MajorTopicYN': 'Y'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Mothers', attributes={'UI': 'D009035', 'MajorTopicYN': 'N'}), StringElement('Prospective Studies', attributes={'UI': 'D011446', 'MajorTopicYN': 'N'}), StringElement('Psychiatric Status Rating Scales', attributes={'UI': 'D011569', 'MajorTopicYN': 'N'})]","[StringElement('Emotional Intelligence', attributes={'UI': 'D056348', 'MajorTopicYN': 'Y'}), StringElement('Facial Expression', attributes={'UI': 'D005149', 'MajorTopicYN': 'Y'})]","A vast body of literature shows that maternal depression has long-term adverse consequences for children. However, only very few studies have documented the effect of maternal depression on children's ability to process emotional expressions and even fewer incorporated measures of observed maternal sensitivity to further tease apart whether it is the symptoms per se or the associated impact via maternal sensitivity that affects children's developing emotion-processing abilities. In a large community sample of Dutch preschoolers (N = 770), we examined independent and mediated effects of maternal depressive symptoms and sensitivity on children's ability to recognize emotional expressions using a nonverbal and a verbal task paradigm. Maternal depressive symptoms predicted less accurate emotion labeling in children, while maternal sensitivity was associated with more accurate emotion matching, especially for sadness and anger. Maternal sensitivity did not mediate the observed associations between mothers' depressive symptoms and children's emotion recognition, and effects were similar for boys and girls. Given that maternal depressive symptoms and sensitivity affected nonoverlapping areas of young children's emotion recognition, prevention and intervention efforts should focus on both alleviating maternal depressive symptoms and improving maternal sensitivity at the same time in order to maximize benefit.",Development and psychopathology,eng,2014,May
Low blood lead level effects on intelligence: can a dose-response curve be determined from the epidemiological data?,"['Banner, W', 'Kahn, C M']","['Department of Pharmacy Practice, College of Pharmacy, University of Oklahoma , Oklahoma City, OK , USA.']","['drug effects', 'blood']",NA,"[StringElement('Dose-Response Relationship, Drug', attributes={'UI': 'D004305', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence', attributes={'UI': 'D007360', 'MajorTopicYN': 'N'}), StringElement('Lead', attributes={'UI': 'D007854', 'MajorTopicYN': 'N'}), StringElement('Models, Theoretical', attributes={'UI': 'D008962', 'MajorTopicYN': 'N'}), StringElement('Nutrition Surveys', attributes={'UI': 'D009749', 'MajorTopicYN': 'N'}), StringElement('Observational Studies as Topic', attributes={'UI': 'D064887', 'MajorTopicYN': 'N'}), StringElement('United States', attributes={'UI': 'D014481', 'MajorTopicYN': 'N', 'Type': 'Geographic'})]",[],"CONTEXT. Recent publications have graphically demonstrated a curvilinear relationship between measures of intelligence and blood lead levels at low concentrations (< 10 mcg/dl). This led to speculation that a greater biologic effect occurs at lower concentrations. Critics of this conclusion hypothesized that this graphical relationship may be a function of the underlying distributions of these variables. OBJECTIVE. To study the impact of the distribution of data on the shape of apparent dose-response curves. METHODS. Random data based on varied distributions were constructed to simulate a previous study using a single, randomly generated covariate income (Inc) to demonstrate the impact of normally versus exponentially distributed data on the shape of the graph of intelligence quotient (IQ) versus blood lead. We also used an existing database of US blood lead levels and constructed a similar model of income and IQ using both assumptions of distribution for the intermediate variable income. RESULTS. When both lead and income are exponentially distributed, the graph of lead and IQ will be a curve. CONCLUSION. The apparent shape of a dose-response relationship from simulated epidemiological data is nonlinear when one variable and a covariate are exponentially distributed. A non-linear biological relationship should not be assumed and in fact may be the least likely explanation. The use of observational epidemiological data to discern a dose-response relationship between two variables may be misleading.","Clinical toxicology (Philadelphia, Pa.)",eng,2014,Feb
Dynamic assessment: the Spanish version of the Application of Cognitive Functions Scale.,"['Mata, Sara', 'Dolores Calero, M']","['Universidad de Granada (Spain).', 'Universidad de Granada (Spain).']",[],[],"[StringElement('Age Factors', attributes={'UI': 'D000367', 'MajorTopicYN': 'N'}), StringElement('Aptitude Tests', attributes={'UI': 'D001077', 'MajorTopicYN': 'Y'}), StringElement('Child', attributes={'UI': 'D002648', 'MajorTopicYN': 'N'}), StringElement('Child, Preschool', attributes={'UI': 'D002675', 'MajorTopicYN': 'N'}), StringElement('Cognition', attributes={'UI': 'D003071', 'MajorTopicYN': 'Y'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Intelligence Tests', attributes={'UI': 'D007361', 'MajorTopicYN': 'N'}), StringElement('Learning', attributes={'UI': 'D007858', 'MajorTopicYN': 'N'}), StringElement('Longitudinal Studies', attributes={'UI': 'D008137', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Surveys and Questionnaires', attributes={'UI': 'D011795', 'MajorTopicYN': 'N'})]","[StringElement('Aptitude Tests', attributes={'UI': 'D001077', 'MajorTopicYN': 'Y'}), StringElement('Cognition', attributes={'UI': 'D003071', 'MajorTopicYN': 'Y'})]","For the last 30 years, the sphere of educational assessment has been giving consideration to methodology that would focus on the processes more than on the final results obtained. Dynamic Assessment has appeared within this context, making it possible to assess a child's ability to improve on a certain task after receiving mediated training. One of the techniques developed to assess the learning potential of preschoolers is the Application of Cognitive Functions Scale (ACFS: Lidz & Jepsen, 2003). The objective of this study was to verify the criterion validity of the Spanish version of the ACFS which was applied to 87 children in the second year of preschool, at which time a learning potential index was obtained for each child. Two years later, the children were reassessed with respect to intelligence, metacognition and scholastic aptitudes. Results showed that learning potential presented evidences of predictive validity regarding to the progression showed on the Kaufman Brief Intelligence Test's (K-BIT: Kaufman & Kauffman, 1994) matrices subtest (p = .04, η2 = .04) and on the evaluation subtest of the metacognition questionnaire (p = .02, η2 = .05). Results also showed significant differences between groups on the visual-perceptive aptitude subtest (p = .01) in favor of the children classified as learners.",The Spanish journal of psychology,eng,2014,Dec
The Sherlock Holmes method in clinical practice.,"['Sopeña, B']","['Unidad de Trombosis y Vasculitis, Complexo Hospitalario Universitario de Vigo (CHUVI), Vigo, Pontevedra, España; Facultad de Medicina, Universidad de Santiago de Compostela, Santiago de Compostela, La Coruña, España. Electronic address: bernardosopena@yahoo.es.']","['history', 'organization & administration', 'methods']",NA,"[StringElement('History, 19th Century', attributes={'UI': 'D049672', 'MajorTopicYN': 'N'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Literature, Modern', attributes={'UI': 'D008093', 'MajorTopicYN': 'N'}), StringElement('Physical Examination', attributes={'UI': 'D010808', 'MajorTopicYN': 'N'}), StringElement('Physicians', attributes={'UI': 'D010820', 'MajorTopicYN': 'N'}), StringElement(""Practice Patterns, Physicians'"", attributes={'UI': 'D010818', 'MajorTopicYN': 'N'})]",[],"This article lists the integral elements of the Sherlock Holmes method, which is based on the intelligent collection of information through detailed observation, careful listening and thorough examination. The information thus obtained is analyzed to develop the main and alternative hypotheses, which are shaped during the deductive process until the key leading to the solution is revealed. The Holmes investigative method applied to clinical practice highlights the advisability of having physicians reason through and seek out the causes of the disease with the data obtained from acute observation, a detailed review of the medical history and careful physical examination.",Revista clinica espanola,eng,2014,Apr
The use of mHealth to deliver tailored messages reduces reported energy and fat intake.,"['Ambeba, Erica J', 'Ye, Lei', 'Sereika, Susan M', 'Styn, Mindi A', 'Acharya, Sushama D', 'Sevick, Mary Ann', 'Ewing, Linda J', 'Conroy, Molly B', 'Glanz, Karen', 'Zheng, Yaguang', 'Goode, Rachel W', 'Mattos, Meghan', 'Burke, Lora E']","['Erica J. Ambeba, PhD School of Nursing and Graduate School of Public Health, Departments of Health and Community Systems and Epidemiology, University of Pittsburgh, Pennsylvania. Lei Ye, BMed Doctoral Student, School of Nursing and Graduate School of Public Health, Departments of Health and Community Systems and Biostatistics, University of Pittsburgh, Pennsylvania. Susan M. Sereika, PhD Professor, School of Nursing and Graduate School of Public Health, Departments of Health and Community Systems and Biostatistics, University of Pittsburgh, Pennsylvania. Mindi A. Styn, PhD Research Assistant Professor, School of Nursing and Graduate School of Public Health, Departments of Health and Community Systems and Epidemiology, University of Pittsburgh, Pennsylvania. Sushama D. Acharya, PhD Research Fellow, Community Guide Branch, Office of Surveillance, Epidemiology and Laboratory Services, Epidemiology and Analysis Program Office, Centers for Disease Control and Prevention, Atlanta, Georgia. Mary Ann Sevick, ScD Associate Professor, Veteran Affairs Pittsburgh Healthcare System, and School of Medicine, Department of Medicine, Center for Research on Healthcare, University of Pittsburgh, Pennsylvania. Linda J. Ewing, PhD Assistant Professor, School of Medicine, Department of Psychiatry, University of Pittsburgh, Pennsylvania. Molly B. Conroy, MD, MPH Assistant Professor, School of Medicine and Graduate School of Public Health, Departments of Medicine and Epidemiology, University of Pittsburgh, Pennsylvania. Karen Glanz, PhD, MPH Professor, Schools of Nursing and Medicine, University of Pennsylvania, Philadelphia. Yaguang Zheng, MSN Graduate Student Researcher, Department of Health and Community Systems, School of Nursing, University of Pittsburgh, Pennsylvania. Rachel W. Goode, MSW Graduate Student Researcher, School of Social Work and Graduate School of Public Health, University of Pittsburgh, Pennsylvania. Meghan Mattos, MSN Graduate Student Researcher, School of Nursing, De']",['administration & dosage'],NA,"[StringElement('Adolescent', attributes={'UI': 'D000293', 'MajorTopicYN': 'N'}), StringElement('Adult', attributes={'UI': 'D000328', 'MajorTopicYN': 'N'}), StringElement('Computers, Handheld', attributes={'UI': 'D034201', 'MajorTopicYN': 'Y'}), StringElement('Dietary Carbohydrates', attributes={'UI': 'D004040', 'MajorTopicYN': 'N'}), StringElement('Dietary Fats', attributes={'UI': 'D004041', 'MajorTopicYN': 'N'}), StringElement('Energy Intake', attributes={'UI': 'D002149', 'MajorTopicYN': 'Y'}), StringElement('Feedback', attributes={'UI': 'D005246', 'MajorTopicYN': 'Y'}), StringElement('Female', attributes={'UI': 'D005260', 'MajorTopicYN': 'N'}), StringElement('Health Behavior', attributes={'UI': 'D015438', 'MajorTopicYN': 'Y'}), StringElement('Humans', attributes={'UI': 'D006801', 'MajorTopicYN': 'N'}), StringElement('Male', attributes={'UI': 'D008297', 'MajorTopicYN': 'N'}), StringElement('Middle Aged', attributes={'UI': 'D008875', 'MajorTopicYN': 'N'}), StringElement('Motivation', attributes={'UI': 'D009042', 'MajorTopicYN': 'N'}), StringElement('Self Care', attributes={'UI': 'D012648', 'MajorTopicYN': 'N'}), StringElement('Weight Loss', attributes={'UI': 'D015431', 'MajorTopicYN': 'N'}), StringElement('Young Adult', attributes={'UI': 'D055815', 'MajorTopicYN': 'N'})]","[StringElement('Computers, Handheld', attributes={'UI': 'D034201', 'MajorTopicYN': 'Y'}), StringElement('Energy Intake', attributes={'UI': 'D002149', 'MajorTopicYN': 'Y'}), StringElement('Feedback', attributes={'UI': 'D005246', 'MajorTopicYN': 'Y'}), StringElement('Health Behavior', attributes={'UI': 'D015438', 'MajorTopicYN': 'Y'})]",Evidence supports the role of feedback in reinforcing motivation for behavior change. Feedback that provides reinforcement has the potential to increase dietary self-monitoring and enhance attainment of recommended dietary intake.,The Journal of cardiovascular nursing,eng,2015,NA
